City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Sao Filipe,CV,2021-01-27 02:33:21,14.8961,-24.4956,72.7,70,0,3.53
152,Hithadhoo,MV,2021-01-27 02:33:21,-0.6,73.0833,81.16,77,87,13.02
153,Praia Da Vitoria,PT,2021-01-27 02:33:21,38.7333,-27.0667,61.0,90,97,11.99
154,Angoche,MZ,2021-01-27 02:33:21,-16.2325,39.9086,75.69,87,2,3.67
155,Aklavik,CA,2021-01-27 02:33:22,68.2191,-135.0107,-9.4,77,100,4.61
156,Inyonga,TZ,2021-01-27 02:33:22,-6.7167,32.0667,61.75,96,52,2.04
157,Margate,GB,2021-01-27 02:33:22,51.3813,1.3862,44.01,91,100,3.0
158,Gat,IL,2021-01-27 02:33:22,31.61,34.7642,55.0,4,100,0.56
159,Mezen,RU,2021-01-27 02:33:22,65.8522,44.24,21.49,98,100,6.91
160,Batagay-Alyta,RU,2021-01-27 02:33:23,67.8006,130.4114,-38.33,79,1,1.07
161,Ayorou,NE,2021-01-27 02:33:23,14.7308,0.9174,64.65,20,68,10.31
162,Santa Maria,BR,2021-01-27 02:33:23,-29.6842,-53.8069,80.6,74,75,11.5
163,Polewali,ID,2021-01-27 02:33:23,-3.4324,119.3435,87.67,52,100,3.02
164,Qurayyat,SA,2021-01-27 02:33:23,31.3318,37.3428,39.2,48,0,11.5
165,Selje,NO,2021-01-27 02:33:24,62.0459,5.351,28.99,91,48,7.52
166,Lahaina,US,2021-01-27 02:30:06,20.8783,-156.6825,82.4,51,40,21.85
167,Tatarsk,RU,2021-01-27 02:33:24,55.219,75.9828,28.8,98,100,14.85
168,Ancud,CL,2021-01-27 02:33:24,-41.8697,-73.8203,53.6,82,20,6.91
169,Westport,US,2021-01-27 02:33:24,41.1415,-73.3579,30.99,93,90,11.5
170,Paka,MY,2021-01-27 02:33:25,4.6374,103.4368,75.2,100,40,4.61
171,Torbay,CA,2021-01-27 02:33:25,47.6666,-52.7314,33.01,93,90,18.41
172,Gondanglegi,ID,2021-01-27 02:33:25,-7.7479,112.0132,82.71,74,100,1.63
173,Yala,TH,2021-01-27 02:33:25,6.3333,101.25,82.4,74,40,5.75
174,Shar,KZ,2021-01-27 02:33:26,49.5886,81.0453,9.23,94,100,14.47
175,Chokurdakh,RU,2021-01-27 02:33:26,70.6333,147.9167,-30.19,83,93,7.34
176,Mastic Beach,US,2021-01-27 02:33:26,40.7668,-72.8521,34.0,93,90,3.44
177,Coquimbo,CL,2021-01-27 02:33:26,-29.9533,-71.3436,62.6,82,90,6.91
178,Victoria,HK,2021-01-27 02:29:08,22.2855,114.1577,66.99,74,9,1.99
179,Yanam,IN,2021-01-27 02:33:27,16.7333,82.2167,69.8,88,20,5.75
180,Lubliniec,PL,2021-01-27 02:33:27,50.669,18.6844,30.0,93,90,11.5
181,Malangali,TZ,2021-01-27 02:33:27,-8.5667,34.85,59.67,91,100,3.47
182,Narsaq,GL,2021-01-27 02:30:41,60.9167,-46.05,10.13,77,0,8.66
183,Khatanga,RU,2021-01-27 02:33:28,71.9667,102.5,-25.67,81,34,9.46
184,La Paz,BO,2021-01-27 02:33:28,-16.5,-68.15,46.4,39,75,8.05
185,Portland,US,2021-01-27 02:33:29,45.5234,-122.6762,37.99,87,90,25.32
186,Antofagasta,CL,2021-01-27 02:29:53,-23.65,-70.4,68.0,77,75,12.66
187,Kindu,CD,2021-01-27 02:33:29,-2.95,25.95,70.29,94,100,3.65
188,Cidreira,BR,2021-01-27 02:33:29,-30.1811,-50.2056,75.83,88,100,4.94
189,Yerbogachen,RU,2021-01-27 02:33:30,61.2767,108.0108,-38.76,80,65,1.86
190,Airai,TL,2021-01-27 02:33:30,-8.9266,125.4092,74.12,66,96,4.65
191,Kalmunai,LK,2021-01-27 02:33:30,7.4167,81.8167,77.47,76,91,9.62
192,Atherton,GB,2021-01-27 02:33:30,53.5237,-2.4935,45.0,92,66,1.99
193,Vanimo,PG,2021-01-27 02:33:30,-2.6741,141.3028,79.68,87,100,11.83
194,Novomykolayivka,UA,2021-01-27 02:33:31,47.9781,35.9102,43.7,92,100,11.63
195,Sol-Iletsk,RU,2021-01-27 02:33:31,51.1631,54.9918,22.71,97,100,11.27
196,Plastun,RU,2021-01-27 02:33:31,44.7561,136.2939,21.02,85,0,21.97
197,Borda Da Mata,BR,2021-01-27 02:33:31,-22.2742,-46.1653,65.43,89,100,2.91
198,Farsund,NO,2021-01-27 02:33:31,58.0948,6.8047,30.99,91,43,4.97
199,Mehamn,NO,2021-01-27 02:33:32,71.0357,27.8492,24.71,95,100,26.69
200,Jaisalmer,IN,2021-01-27 02:31:35,26.9147,70.9181,54.46,38,0,7.18
201,Lebanon,US,2021-01-27 02:33:32,36.2081,-86.2911,46.99,81,40,12.66
202,Kaputa,ZM,2021-01-27 02:33:32,-8.4689,29.6619,66.24,89,100,3.74
203,Cabo San Lucas,MX,2021-01-27 02:30:32,22.8909,-109.9124,62.01,64,100,4.0
204,Malinyi,TZ,2021-01-27 02:33:33,-8.9333,36.1333,69.39,96,83,1.32
205,Kingaroy,AU,2021-01-27 02:33:33,-26.5333,151.8333,93.0,45,40,6.91
206,North Branch,US,2021-01-27 02:33:33,45.5113,-92.9802,12.2,56,90,4.61
207,Talnakh,RU,2021-01-27 02:33:33,69.4865,88.3972,-19.86,85,100,5.39
208,Dudinka,RU,2021-01-27 02:32:12,69.4058,86.1778,-17.18,88,100,8.63
209,Beloha,MG,2021-01-27 02:33:33,-25.1667,45.05,72.86,94,99,5.93
210,Saint-Francois,FR,2021-01-27 02:33:34,46.4154,3.9054,34.0,86,0,2.3
211,Loa Janan,ID,2021-01-27 02:33:34,-0.583,117.095,82.33,86,100,2.51
212,Winneba,GH,2021-01-27 02:33:34,5.3511,-0.6231,80.6,89,75,11.5
213,Geraldton,AU,2021-01-27 02:33:34,-28.7667,114.6,72.99,62,45,17.65
214,Jawhar,SO,2021-01-27 02:33:34,2.7809,45.5005,70.25,91,31,8.32
215,Te Anau,NZ,2021-01-27 02:33:34,-45.4167,167.7167,61.77,92,61,6.73
216,Plettenberg Bay,ZA,2021-01-27 02:33:35,-34.0527,23.3716,67.6,84,75,5.35
217,Souillac,MU,2021-01-27 02:33:35,-20.5167,57.5167,71.6,88,20,8.05
218,Ranghulu,CN,2021-01-27 02:33:35,46.65,124.8667,7.97,77,0,14.81
219,Sukumo,JP,2021-01-27 02:32:52,32.9333,132.7333,56.23,71,99,7.05
220,Kaitangata,NZ,2021-01-27 02:33:36,-46.2817,169.8464,77.0,51,100,8.72
221,Huambo,AO,2021-01-27 02:33:36,-12.7761,15.7392,55.83,73,100,2.82
222,Rocha,UY,2021-01-27 02:33:36,-34.4833,-54.3333,72.79,83,100,2.77
223,Constitucion,CL,2021-01-27 02:33:36,-35.3333,-72.4167,53.76,80,0,8.75
224,Chinchina,CO,2021-01-27 02:33:36,4.9825,-75.6036,63.05,78,100,3.33
225,Pochutla,MX,2021-01-27 02:33:37,15.7432,-96.4661,78.01,61,0,3.51
226,Poum,NC,2021-01-27 02:33:37,-20.2333,164.0167,81.57,74,100,13.24
227,Lensk,RU,2021-01-27 02:33:37,60.7253,114.9278,-37.12,78,95,1.99
228,Rawson,AR,2021-01-27 02:30:33,-43.3002,-65.1023,63.18,47,7,4.9
229,Taltal,CL,2021-01-27 02:33:38,-25.4,-70.4833,66.97,65,0,6.02
230,Kruisfontein,ZA,2021-01-27 02:33:38,-34.0033,24.7314,70.0,84,99,5.99
231,Camopi,GF,2021-01-27 02:33:38,3.1655,-52.3158,71.85,98,100,1.81
232,Labuhan,ID,2021-01-27 02:33:38,-6.8844,112.2051,84.25,71,97,6.96
233,Amontada,BR,2021-01-27 02:33:38,-3.3617,-39.8317,76.62,82,89,4.85
234,Castro,BR,2021-01-27 02:33:39,-24.7911,-50.0119,64.33,94,100,3.69
235,Lithakia,GR,2021-01-27 02:33:39,37.7167,20.8333,46.4,66,0,17.27
236,Olinda,BR,2021-01-27 02:33:39,-8.0089,-34.8553,73.4,88,75,8.05
237,Kuytun,RU,2021-01-27 02:33:39,54.3419,101.5036,-23.33,86,1,1.34
238,Acajutla,SV,2021-01-27 02:33:39,13.5928,-89.8275,78.04,78,0,7.58
239,Bredasdorp,ZA,2021-01-27 02:33:40,-34.5322,20.0403,64.4,82,15,4.61
240,Tocopilla,CL,2021-01-27 02:30:23,-22.092,-70.1979,69.39,63,1,10.98
241,Fare,PF,2021-01-27 02:33:40,-16.7,-151.0167,81.54,72,79,16.96
242,Nabisar,PK,2021-01-27 02:33:40,25.0685,69.6419,56.98,32,0,6.64
243,Itoman,JP,2021-01-27 02:33:40,26.1247,127.6694,68.0,77,40,19.57
244,Norman Wells,CA,2021-01-27 02:33:41,65.282,-126.8329,-16.6,76,75,2.3
245,Hamilton,US,2021-01-27 02:30:11,39.1834,-84.5333,37.0,75,90,14.97
246,Mgandu,TZ,2021-01-27 02:33:41,-5.95,34.1333,58.32,99,62,3.94
247,Butaritari,KI,2021-01-27 02:33:41,3.0707,172.7902,81.36,75,3,9.4
248,Benghazi,LY,2021-01-27 02:33:41,32.1167,20.0667,57.76,60,27,28.03
249,Soure,BR,2021-01-27 02:33:41,-0.7167,-48.5233,79.38,84,100,7.87
250,Alta Floresta,BR,2021-01-27 02:33:42,-9.8756,-56.0861,73.4,100,75,2.3
251,Kemi,FI,2021-01-27 02:33:42,65.8596,24.8228,28.4,93,90,10.36
252,Walvis Bay,NA,2021-01-27 02:33:42,-22.9575,14.5053,68.0,88,16,3.44
253,Jovellanos,CU,2021-01-27 02:33:42,22.8044,-81.1944,71.6,94,20,4.61
254,Dombarovskiy,RU,2021-01-27 02:33:42,50.7587,59.5386,14.23,97,46,5.53
255,Cine,TR,2021-01-27 02:33:42,37.6117,28.0614,57.2,82,75,27.63
256,Zabaykalsk,RU,2021-01-27 02:33:43,49.6333,117.3167,-11.06,87,78,13.13
257,Sitka,US,2021-01-27 02:33:43,57.0531,-135.33,32.0,51,40,8.05
258,Kayerkan,RU,2021-01-27 02:33:43,69.3497,87.7602,-20.87,85,100,6.13
259,Pisek,CZ,2021-01-27 02:33:01,49.3088,14.1475,27.0,99,3,7.65
260,Esperance,AU,2021-01-27 02:32:48,-33.8667,121.9,64.4,82,90,19.57
261,Talaya,RU,2021-01-27 02:33:44,61.3833,152.75,-24.97,81,100,3.15
262,Bertinoro,IT,2021-01-27 02:33:44,44.1469,12.1389,39.0,80,0,9.22
263,Carutapera,BR,2021-01-27 02:33:44,-1.195,-46.02,78.03,86,100,5.21
264,Dingle,PH,2021-01-27 02:33:44,10.9995,122.6711,82.15,78,96,12.91
265,Pozo Colorado,PY,2021-01-27 02:33:44,-23.4923,-58.7972,73.81,89,82,4.76
266,Wad Madani,SD,2021-01-27 02:33:44,14.4012,33.5199,69.91,35,37,9.55
