City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Jacqueville,NE,5.2052,-4.4146,87.8,74,20,10.36,few clouds
108,Barrow,NE,71.2906,-156.7887,-5.8,71,90,10.36,light snow
109,Jizan,NE,17.3333,42.6667,82.4,74,20,9.22,few clouds
110,Bethel,NE,41.3712,-73.414,17.01,57,1,5.75,clear sky
111,Hambantota,NE,6.1241,81.1185,77.0,100,40,3.44,scattered clouds
112,Pevek,NE,69.7008,170.3133,-32.1,85,55,3.74,broken clouds
113,Palana,NE,59.1167,159.9667,2.17,93,100,26.02,overcast clouds
114,Champerico,NE,14.3,-91.9167,80.6,74,12,3.74,few clouds
115,Cavalcante,NE,-13.7975,-47.4583,83.53,51,21,7.67,few clouds
116,Cidreira,NE,-30.1811,-50.2056,85.24,68,7,1.77,clear sky
117,Faanui,NE,-16.4833,-151.75,80.13,71,63,3.06,light rain
118,Kaitangata,NE,-46.2817,169.8464,50.0,88,13,1.99,few clouds
119,Nalut,NE,30.3333,10.85,71.96,20,0,11.88,clear sky
120,Havre,NE,49.5833,0.3333,51.8,87,90,8.05,overcast clouds
121,Raudeberg,NE,61.9875,5.1352,32.0,93,75,4.61,snow
122,Nikolskoye,NE,59.7035,30.7861,30.2,93,75,4.47,heavy snow
123,Souillac,NE,-20.5167,57.5167,82.4,74,75,10.36,broken clouds
124,Kulhudhuffushi,NE,6.6221,73.07,81.91,66,96,7.18,overcast clouds
125,Novobirilyussy,NE,56.9514,90.6661,-29.22,84,0,1.34,clear sky
126,Juneau,NE,58.3019,-134.4197,30.0,86,90,6.58,overcast clouds
127,Busselton,NE,-33.65,115.3333,72.0,56,0,3.0,clear sky
128,Bambous Virieux,NE,-20.3428,57.7575,82.4,74,75,10.36,broken clouds
129,Byron Bay,NE,-28.65,153.6167,75.2,83,75,3.44,broken clouds
130,Meulaboh,NE,4.1363,96.1285,78.06,76,78,1.97,broken clouds
131,Vila Velha,NE,-20.3297,-40.2925,90.0,55,20,14.97,few clouds
132,Ust-Tsilma,NE,65.441,52.1498,4.64,93,100,10.47,light snow
133,Fuling,NE,29.7022,107.3919,53.8,61,100,1.88,overcast clouds
134,Nove Mesto Na Morave,NE,49.5614,16.0742,27.0,80,99,4.0,overcast clouds
135,Upernavik,NE,72.7868,-56.1549,-9.63,87,3,8.81,clear sky
136,Takoradi,NE,4.8845,-1.7554,84.07,70,7,10.07,light rain
137,Khor,NE,47.8861,134.9464,-18.24,87,70,5.97,broken clouds
138,Kalabo,NE,-14.97,22.6814,82.71,61,85,5.55,light rain
139,Strelka,NE,58.0728,93.0344,-31.52,80,3,2.62,clear sky
140,Jalu,NE,29.0331,21.5482,76.01,25,0,12.73,clear sky
141,Namibe,NE,-15.1961,12.1522,82.4,57,40,11.5,scattered clouds
142,Severobaykalsk,NE,55.65,109.3167,-16.33,82,37,4.85,scattered clouds
143,Puerto Gaitan,NE,4.3133,-72.0816,89.49,40,12,17.96,few clouds
144,Hobart,NE,-42.8794,147.3294,54.0,81,0,4.54,clear sky
145,Lucerna,NE,47.0505,8.3064,41.0,100,90,2.3,light rain
146,Bud,NE,39.447,-86.1758,30.99,73,100,14.43,overcast clouds
147,Trois-Rivieres,NE,46.3501,-72.5491,6.8,66,0,4.61,clear sky
148,Chara,NE,56.9064,118.2631,-33.88,74,81,0.81,broken clouds
149,Sambava,NE,-14.2667,50.1667,81.48,75,40,4.29,light rain
150,San Vicente,NE,-26.6167,-54.1333,73.58,88,100,6.96,overcast clouds
151,Bitung,NE,1.4451,125.1824,77.0,94,20,2.3,few clouds
152,San Patricio,NE,28.017,-97.5169,72.0,88,75,23.02,broken clouds
153,Necochea,NE,-38.5473,-58.7368,68.0,47,100,16.84,overcast clouds
154,Yulara,NE,-25.2406,130.9889,89.6,33,90,12.66,overcast clouds
155,Kamaishi,NE,39.2667,141.8833,26.1,89,2,5.93,clear sky
156,Saint-Philippe,NE,-21.3585,55.7679,84.2,61,0,10.36,clear sky
157,Porto Novo,NE,6.4965,2.6036,89.6,70,20,11.5,few clouds
158,Te Anau,NE,-45.4167,167.7167,43.74,84,39,1.57,scattered clouds
159,Ust-Kuyga,NE,70.0167,135.6,-39.05,79,100,1.7,overcast clouds
160,East London,NE,-33.0153,27.9116,77.0,73,40,10.36,scattered clouds
161,Chuy,NE,-33.6971,-53.4616,84.25,52,0,8.79,clear sky
162,Aksu,NE,41.1231,80.2644,23.45,79,0,2.86,clear sky
163,Klaksvik,NE,62.2266,-6.589,33.8,93,90,11.5,snow
164,Lompoc,NE,34.6391,-120.4579,46.0,100,40,5.75,scattered clouds
165,Kandalaksha,NE,67.162,32.4123,12.99,95,100,4.18,light snow
166,Zonguldak,NE,41.25,31.8333,39.0,89,100,8.1,overcast clouds
167,Daru,NE,-9.0763,143.2092,77.45,91,100,10.18,overcast clouds
168,Nijar,NE,36.9665,-2.206,64.4,72,20,23.02,few clouds
169,Marsa Matruh,NE,31.3525,27.2453,73.4,35,22,20.71,few clouds
170,Utica,NE,43.1009,-75.2327,10.4,61,90,4.61,overcast clouds
171,Saint George,NE,37.1041,-113.5841,34.0,93,90,3.44,fog
172,Vila Franca Do Campo,NE,37.7167,-25.4333,62.6,94,75,17.27,broken clouds
173,Sioux Lookout,NE,50.1001,-91.917,15.8,86,90,6.91,overcast clouds
174,Atasu,NE,48.6814,71.6433,23.31,90,100,11.56,overcast clouds
175,Edd,NE,13.9297,41.6925,78.51,60,0,8.68,clear sky
176,Kloulklubed,NE,7.0419,134.2556,78.8,78,75,6.91,broken clouds
177,New Norfolk,NE,-42.7826,147.0587,54.0,80,3,2.93,clear sky
178,Tura,NE,25.5198,90.2201,53.85,38,0,1.66,clear sky
179,Salalah,NE,17.0151,54.0924,73.4,56,20,5.75,few clouds
180,Zabid,NE,14.1951,43.3152,80.69,55,18,4.63,few clouds
181,Keelung,NE,25.1283,121.7419,64.0,77,20,8.05,few clouds
182,Pavlogradka,NE,54.2024,73.5592,11.62,94,100,9.51,overcast clouds
183,Port Alfred,NE,-33.5906,26.891,73.99,81,0,1.99,clear sky
184,Coahuayana,NE,18.7333,-103.6833,75.2,57,1,6.91,clear sky
185,Guerrero Negro,NE,27.9769,-114.0611,55.67,74,0,9.73,clear sky
186,Benghazi,NE,32.1167,20.0667,64.92,74,0,15.59,clear sky
187,Dingle,NE,10.9995,122.6711,72.34,89,100,11.05,overcast clouds
188,Puerto Del Rosario,NE,28.5004,-13.8627,68.0,73,0,16.11,clear sky
189,Suntar,NE,62.1444,117.6319,-39.32,80,100,2.82,overcast clouds
190,Lucapa,NE,-8.4192,20.7447,81.82,65,96,3.6,light rain
191,Iqaluit,NE,63.7506,-68.5145,-11.0,70,20,23.02,snow
192,Kalofer,NE,42.6167,24.9833,43.0,70,91,5.91,overcast clouds
193,Noumea,NE,-22.2763,166.4572,69.8,83,0,1.14,clear sky
194,Dakar,NE,14.6937,-17.4441,77.0,44,0,11.5,clear sky
195,Fairview,NE,40.8126,-73.999,23.0,49,1,12.66,clear sky
196,Tiksi,NE,71.6872,128.8694,-26.14,86,100,5.35,overcast clouds
197,Ambon,NE,-3.6954,128.1814,78.8,89,40,4.61,scattered clouds
198,Katsuura,NE,35.1333,140.3,41.0,48,20,6.91,few clouds
199,Kingsport,NE,36.5484,-82.5618,35.01,69,75,5.75,broken clouds
200,Kavaratti,NE,10.5669,72.642,81.7,69,76,8.16,broken clouds
201,Entre Rios,NE,-11.9419,-38.0844,83.52,63,95,7.81,overcast clouds
202,Udayagiri,NE,20.1333,84.3833,62.24,64,6,1.63,clear sky
203,Banjar,NE,-8.19,114.9675,78.8,89,75,20.71,moderate rain
204,Tolaga Bay,NE,-38.3667,178.3,57.06,82,64,10.16,broken clouds
205,Dovolnoye,NE,54.4958,79.6671,-5.91,89,26,10.0,scattered clouds
206,Letpadan,NE,17.7833,95.75,75.27,45,19,4.56,few clouds
